Station_name,Station_address,Type_oil,Price,City,Full_address,Coords,LAT,LNG
sociedad de inversiones stevens ltda,AV. GABRIELA MISTRAL 1625,Bencina 93,1227,Los Ángeles,"AV. GABRIELA MISTRAL 1625, Los Ángeles, Chile","(-37.47286, -72.32641)",-37.47286,-72.32641
sociedad de inversiones stevens ltda,AV. GABRIELA MISTRAL 1625,Bencina 95,1254,Los Ángeles,"AV. GABRIELA MISTRAL 1625, Los Ángeles, Chile","(-37.47286, -72.32641)",-37.47286,-72.32641
sociedad de inversiones stevens ltda,AV. GABRIELA MISTRAL 1625,Bencina 97,1278,Los Ángeles,"AV. GABRIELA MISTRAL 1625, Los Ángeles, Chile","(-37.47286, -72.32641)",-37.47286,-72.32641
sociedad de inversiones stevens ltda,AV. GABRIELA MISTRAL 1625,Diesel,1039,Los Ángeles,"AV. GABRIELA MISTRAL 1625, Los Ángeles, Chile","(-37.47286, -72.32641)",-37.47286,-72.32641
VELOSO S.A.,RUTA PANAMERICANA SUR KM. 506 0,Bencina 93,1221,Los Ángeles,"RUTA PANAMERICANA SUR KM. 506 0, Los Ángeles, Chile","(-37.60006, -72.27833)",-37.60006,-72.27833
VELOSO S.A.,RUTA PANAMERICANA SUR KM. 506 0,Bencina 95,1247,Los Ángeles,"RUTA PANAMERICANA SUR KM. 506 0, Los Ángeles, Chile","(-37.60006, -72.27833)",-37.60006,-72.27833
VELOSO S.A.,RUTA PANAMERICANA SUR KM. 506 0,Bencina 97,1272,Los Ángeles,"RUTA PANAMERICANA SUR KM. 506 0, Los Ángeles, Chile","(-37.60006, -72.27833)",-37.60006,-72.27833
VELOSO S.A.,RUTA PANAMERICANA SUR KM. 506 0,Diesel,1032,Los Ángeles,"RUTA PANAMERICANA SUR KM. 506 0, Los Ángeles, Chile","(-37.60006, -72.27833)",-37.60006,-72.27833
Sociedad Comercial Urquieta Huerta Limit...,VALDIVIA 100,Bencina 93,1223,Los Ángeles,"VALDIVIA 100, Los Ángeles, Chile","(-37.4722, -72.35259)",-37.4722,-72.35259
Sociedad Comercial Urquieta Huerta Limit...,VALDIVIA 100,Bencina 95,1249,Los Ángeles,"VALDIVIA 100, Los Ángeles, Chile","(-37.4722, -72.35259)",-37.4722,-72.35259
Sociedad Comercial Urquieta Huerta Limit...,VALDIVIA 100,Bencina 97,1272,Los Ángeles,"VALDIVIA 100, Los Ángeles, Chile","(-37.4722, -72.35259)",-37.4722,-72.35259
Sociedad Comercial Urquieta Huerta Limit...,VALDIVIA 100,Diesel,1037,Los Ángeles,"VALDIVIA 100, Los Ángeles, Chile","(-37.4722, -72.35259)",-37.4722,-72.35259
Soc. Comer. Y Distr. De Combustibles Los...,AV. VICUï¿½A MACKENNA 1241,Bencina 93,1222,Los Ángeles,"AV. VICUï¿½A MACKENNA 1241, Los Ángeles, Chile","(-37.47991, -72.36529)",-37.47991,-72.36529
Soc. Comer. Y Distr. De Combustibles Los...,AV. VICUï¿½A MACKENNA 1241,Bencina 95,1248,Los Ángeles,"AV. VICUï¿½A MACKENNA 1241, Los Ángeles, Chile","(-37.47991, -72.36529)",-37.47991,-72.36529
Soc. Comer. Y Distr. De Combustibles Los...,AV. VICUï¿½A MACKENNA 1241,Bencina 97,1271,Los Ángeles,"AV. VICUï¿½A MACKENNA 1241, Los Ángeles, Chile","(-37.47991, -72.36529)",-37.47991,-72.36529
Soc. Comer. Y Distr. De Combustibles Los...,AV. VICUï¿½A MACKENNA 1241,Diesel,1037,Los Ángeles,"AV. VICUï¿½A MACKENNA 1241, Los Ángeles, Chile","(-37.47991, -72.36529)",-37.47991,-72.36529
ADMINISTRADORA DE VENTAS AL DETALLE LTDA...,"RUTA 5 SUR KM 518,5 0",Bencina 93,1230,Los Ángeles,"RUTA 5 SUR KM 518,5 0, Los Ángeles, Chile","('NA', 'NA')",Empy,Empy
ADMINISTRADORA DE VENTAS AL DETALLE LTDA...,"RUTA 5 SUR KM 518,5 0",Bencina 95,1271,Los Ángeles,"RUTA 5 SUR KM 518,5 0, Los Ángeles, Chile","('NA', 'NA')",Empy,Empy
ADMINISTRADORA DE VENTAS AL DETALLE LTDA...,"RUTA 5 SUR KM 518,5 0",Bencina 97,1312,Los Ángeles,"RUTA 5 SUR KM 518,5 0, Los Ángeles, Chile","('NA', 'NA')",Empy,Empy
ADMINISTRADORA DE VENTAS AL DETALLE LTDA...,"RUTA 5 SUR KM 518,5 0",Diesel,2051,Los Ángeles,"RUTA 5 SUR KM 518,5 0, Los Ángeles, Chile","('NA', 'NA')",Empy,Empy
ADMINISTRADORA DE VENTAS AL DETALLE LTD...,"RUTA 5 SUR KM 484, SALIDA NORTE 0",Bencina 93,1214,Los Ángeles,"RUTA 5 SUR KM 484, SALIDA NORTE 0, Los Ángeles, Chile","('NA', 'NA')",Empy,Empy
ADMINISTRADORA DE VENTAS AL DETALLE LTD...,"RUTA 5 SUR KM 484, SALIDA NORTE 0",Bencina 95,1254,Los Ángeles,"RUTA 5 SUR KM 484, SALIDA NORTE 0, Los Ángeles, Chile","('NA', 'NA')",Empy,Empy
ADMINISTRADORA DE VENTAS AL DETALLE LTD...,"RUTA 5 SUR KM 484, SALIDA NORTE 0",Bencina 97,1305,Los Ángeles,"RUTA 5 SUR KM 484, SALIDA NORTE 0, Los Ángeles, Chile","('NA', 'NA')",Empy,Empy
ADMINISTRADORA DE VENTAS AL DETALLE LTD...,"RUTA 5 SUR KM 484, SALIDA NORTE 0",Diesel,1022,Los Ángeles,"RUTA 5 SUR KM 484, SALIDA NORTE 0, Los Ángeles, Chile","('NA', 'NA')",Empy,Empy
SOC. COMERCIAL MONSERRAT LTDA.,AV. ERCILLA 795,Bencina 93,1197,Los Ángeles,"AV. ERCILLA 795, Los Ángeles, Chile","(-37.46383, -72.35498)",-37.46383,-72.35498
SOC. COMERCIAL MONSERRAT LTDA.,AV. ERCILLA 795,Bencina 95,1225,Los Ángeles,"AV. ERCILLA 795, Los Ángeles, Chile","(-37.46383, -72.35498)",-37.46383,-72.35498
SOC. COMERCIAL MONSERRAT LTDA.,AV. ERCILLA 795,Bencina 97,1239,Los Ángeles,"AV. ERCILLA 795, Los Ángeles, Chile","(-37.46383, -72.35498)",-37.46383,-72.35498
SOC. COMERCIAL MONSERRAT LTDA.,AV. ERCILLA 795,Diesel,1021,Los Ángeles,"AV. ERCILLA 795, Los Ángeles, Chile","(-37.46383, -72.35498)",-37.46383,-72.35498
CONSTANZA ZIPPEL Y CIA LTDA,ALMAGRO 1198,Bencina 93,1197,Los Ángeles,"ALMAGRO 1198, Los Ángeles, Chile","(-37.45889, -72.34806)",-37.45889,-72.34806
